HexCode,IntCode,Name,Message
0x80061225,-2147085787,"MailApp_AppModuleSitemapDashboardNotDefault","App for Outlook Dashboard is not set as default in Site Map."
0x80061226,-2147085786,"MailApp_AppModuleSitemapMissing","App for Outlook AppModule Site Map is missing"
0x80061218,-2147085800,"MailApp_AppointmentFeatureNotEnabled","Access to the app hasn’t been enabled for Appointments for this Microsoft Dynamics 365 organization. Contact your system administrator to enable access for appointments."
0x80061238,-2147085768,"MailApp_AuthFailed","The default error that gets thrown when authorization fails"
0x8006123D,-2147085763,"MailApp_ClientLoadTimeout","We're unable to connect to your Microsoft Dynamics 365 server. Please try closing and reopening the app"
0x8006123F,-2147085761,"MailApp_DelegateDisabled","Delegated mailbox support is not setup correctly for use in App for Outlook. Please contact your administrator for assistance"
0x80061210,-2147085808,"MailApp_DifferentSecurityZoneError","Try adding the following URLs to your Trusted Sites:{0} {1} {2}"
0x80061211,-2147085807,"MailApp_EmailAddressMismatch","It looks like you're trying to access the CRM App for Outlook from an email address that we don't recognize. Either sign out and sign in with the email address you use for Dynamics CRM or have your system administrator update your email Mailbox settings to reflect this email address."
0x8006124B,-2147085749,"MailApp_ExchangeGenericError","Exchange generic error."
0x8006124C,-2147085748,"MailApp_ExchangeItemNotFound","Exchange item is not found."
0x80061204,-2147085820,"MailApp_FeatureControlBitDisabled","Access to the app hasn’t been enabled for this Dynamics 365 organization. Contact your system administrator to enable access to this app."
0x80061237,-2147085769,"MailApp_GenericError","Generic error occurred"
0x8006123E,-2147085762,"MailApp_JsonParseFailure","An exception occurred while parsing a JSON string"
0x80061202,-2147085822,"MailApp_MailboxNotConfiguredWithServerSideSync","Email account isn't configured with server-side synchronization for incoming email"
0x80061217,-2147085801,"MailApp_MailboxNotConfiguredWithServerSideSyncForACT","Email account isn’t configured with server-side sync for appointments, contacts, and tasks"
0x80061220,-2147085792,"MailApp_MailboxServerSideSyncConfigurationFailure","Microsoft Dynamics 365 server-side synchronization failed for incoming emails."
0x80061221,-2147085791,"MailApp_MailboxServerSideSyncConfigurationFailureForACT","Microsoft Dynamics 365 server-side synchronization failed for appointments."
0x80061208,-2147085816,"MailApp_MobileBrowserIsNotSupported","The mobile browser version of Outlook is currently unsupported. Please try again from the Outlook desktop application."
0x8006123B,-2147085765,"MailApp_NotSupported","API is not supported"
0x80061229,-2147085783,"MailApp_OfficeAsyncCallFailed","Office API async call failed."
0x80061249,-2147085751,"MailApp_OfficeCategoryUpdateError","Failed to update mailbox item category."
0x80061246,-2147085754,"MailApp_OfficeDelegateSaveAsyncError","Office API delegate save async error."
0x80061247,-2147085753,"MailApp_OfficeLoadError","OfficeJs failed to load. Please ensure you are connected to internet and restart the add-in."
0x80061248,-2147085752,"MailApp_OfficeMailboxItemUnavailable","Mailbox item is unavailable. This can happen if a user switches between emails while the app is still loading."
0x80061245,-2147085755,"MailApp_OfficeSaveAsyncError","Office API save async error."
0x80061240,-2147085760,"MailApp_OfficeSaveAsyncMessageInDifferentStore","This email is saved in another mailbox. Please select the right sender mailbox using the “From” field to view related information."
0x80061244,-2147085756,"MailApp_OfficeSaveAsyncUnavailable","Office API save async is unavailable."
0x80061241,-2147085759,"MailApp_OfficeSaveAsyncUnsupported","You are using an older version of Microsoft Outlook. Tracking/Untracking unsent mail items is not supported in this version."
0x80061243,-2147085757,"MailApp_OfficeSaveAsyncUnsupportedInOutlook","You are using an older version of Microsoft Outlook. Tracking/Untracking unsent mail items is not supported in this version."
0x80061242,-2147085758,"MailApp_OfficeSaveAsyncUnsupportedInOwa","You are using an older version of Microsoft Outlook. Tracking/Untracking unsent mail items is not supported in this version."
0x8006124A,-2147085750,"MailApp_OfficeTransientError","Office transient error."
0x80061219,-2147085799,"MailApp_PermissionsToReadContactRequired","Can't check to see if the recipients are in Dynamics 365 because user doesn't have sufficient privileges"
0x80061205,-2147085819,"MailApp_PermissionToUseCrmForOfficeAppsRequired","User doesn't have permission to access app"
0x80061203,-2147085821,"MailApp_ReadWriteAccessRequired","User only has administrative access to Dynamics 365"
0x80061213,-2147085805,"MailApp_StorageOperationError","Storage operation error"
0x80061212,-2147085806,"MailApp_StorageUnavailable","Integrity level is set incorrectly on LocalLow folder"
0x80061207,-2147085817,"MailApp_TrackingIsNotSupported","This version of Outlook doesn't support tracking new emails."
0x8006123C,-2147085764,"MailApp_UncaughtException","Uncaught Exception"
0x8006123A,-2147085766,"MailApp_Unknown","Unknown error"
